passo,relogio,p1_x,p1_y,p2_x,p2_y,placar_p1,placar_p2
0,59,30,4,109,87,0,0
1,59,30,4,109,87,0,0
2,59,30,4,108,87,0,0
3,59,30,4,107,86,0,0
4,59,30,4,107,87,0,0
5,59,30,4,106,87,0,0
6,59,30,3,107,87,0,0
7,59,30,3,108,87,0,0
8,59,30,4,108,86,0,0
9,59,30,4,108,85,0,0
10,59,30,5,109,84,0,0
11,59,30,5,109,84,0,0
12,59,30,5,109,84,0,0
13,59,30,5,109,84,0,0
14,59,30,5,109,84,0,0
15,59,30,5,109,84,0,0
16,59,30,5,109,84,0,0
17,59,31,4,109,84,0,0
18,59,30,3,108,83,0,0
19,59,30,3,107,84,0,0
20,59,31,3,107,84,0,0
21,59,32,3,108,85,0,0
22,59,31,3,108,85,0,0
23,59,31,4,107,84,0,0
24,59,31,3,107,85,0,0
25,59,31,3,108,84,0,0
26,59,30,4,109,85,0,0
27,59,31,5,109,86,0,0
28,59,30,5,109,85,0,0
29,59,30,5,109,85,0,0
30,59,31,6,109,84,0,0
31,59,31,5,109,85,0,0
32,59,31,4,109,84,0,0
33,59,31,3,109,84,0,0
34,59,30,4,109,83,0,0
35,59,31,4,109,84,0,0
36,59,31,3,109,83,0,0
37,59,31,4,109,82,0,0
38,59,31,3,109,81,0,0
39,59,30,3,109,81,0,0
40,59,30,3,108,82,0,0
41,59,30,3,107,81,0,0
42,59,30,4,106,82,0,0
43,59,31,4,107,83,0,0
44,59,31,5,108,84,0,0
45,59,32,5,108,85,0,0
46,59,33,4,107,86,0,0
47,59,33,5,106,85,0,0
48,59,32,6,106,86,0,0
49,59,31,6,106,86,0,0
50,59,32,6,107,86,0,0
51,59,33,7,107,86,0,0
52,59,34,8,108,87,0,0
53,59,33,7,109,86,0,0
54,59,33,8,108,87,0,0
55,59,34,7,109,87,0,0
56,59,34,7,109,86,0,0
57,59,34,7,108,86,0,0
58,59,34,7,108,86,0,0
59,58,34,7,107,85,0,0
60,58,34,7,106,84,0,0
61,58,34,7,105,83,0,0
62,58,34,7,105,83,0,0
63,58,34,7,105,83,0,0
64,58,34,7,105,83,0,0
65,58,34,8,105,83,0,0
66,58,33,9,105,83,0,0
67,58,34,8,105,83,0,0
68,58,33,7,105,83,0,0
69,58,34,8,106,84,0,0
70,58,35,9,107,83,0,0
71,58,36,9,106,82,0,0
72,58,37,10,106,83,0,0
73,58,36,9,107,83,0,0
74,58,36,8,108,84,0,0
75,58,35,9,107,85,0,0
76,58,35,10,106,85,0,0
77,58,34,10,106,84,0,0
78,58,34,10,105,83,0,0
79,58,35,11,106,82,0,0
80,58,36,12,107,82,0,0
81,58,35,11,106,83,0,0
82,58,36,10,105,83,0,0
83,58,35,10,106,84,0,0
84,58,35,11,107,84,0,0
85,58,34,10,108,83,0,0
86,58,33,9,108,83,0,0
87,58,33,10,109,84,0,0
88,58,33,10,109,84,0,0
89,58,34,11,109,85,0,0
90,58,34,12,109,86,0,0
91,58,34,13,109,85,0,0
92,58,35,14,108,86,0,0
93,58,34,15,109,87,0,0
94,58,35,14,109,86,0,0
95,58,34,14,109,86,0,0
96,58,35,14,108,86,0,0
97,58,36,14,108,86,0,0
98,58,37,13,109,86,0,0
99,58,38,12,108,86,0,0
100,58,37,13,109,87,0,0
101,58,38,12,109,87,0,0
102,58,37,12,109,87,0,0
103,58,36,13,109,87,0,0
104,58,35,14,108,86,0,0
105,58,35,14,107,85,0,0
106,58,35,14,108,86,0,0
107,58,35,14,107,85,0,0
108,58,35,14,107,84,0,0
109,58,35,14,107,84,0,0
110,58,35,14,107,84,0,0
111,58,35,14,107,84,0,0
112,58,36,14,107,84,0,0
113,58,36,15,107,84,0,0
114,58,35,15,107,84,0,0
115,58,34,15,107,84,0,0
116,58,34,15,108,84,0,0
117,58,34,15,107,85,0,0
118,58,35,14,107,86,0,0
119,57,36,14,106,85,0,0
120,57,36,13,105,86,0,0
121,57,36,14,104,87,0,0
122,57,37,14,104,87,0,0
123,57,37,14,105,86,0,0
124,57,37,14,104,85,0,0
125,57,37,14,104,84,0,0
126,57,38,15,103,85,0,0
127,57,38,15,102,84,0,0
128,57,37,16,102,84,0,0
129,57,38,15,101,83,0,0
130,57,38,15,100,83,0,0
131,57,39,15,100,83,0,0
132,57,40,16,100,84,0,0
133,57,40,15,99,84,0,0
134,57,39,16,98,83,0,0
135,57,39,17,98,82,0,0
136,57,39,18,97,83,0,0
137,57,39,19,96,82,0,0
138,57,39,19,95,83,0,0
139,57,38,18,96,82,0,0
140,57,39,17,96,83,0,0
141,57,39,16,97,84,0,0
142,57,39,15,96,84,0,0
143,57,38,15,96,84,0,0
